sample,kind,variant,format,width,height,bytes,size_kib,ratio_vs_original,psnr_db,path
card_high_speed_slash,card_full,original_png,png,1023,1537,3095067,3022.5,1.145,inf,Docs/ArtOptimizationAB/card_high_speed_slash__original_png.png
card_high_speed_slash,card_full,png_opt,png,1023,1537,2933961,2865.2,1.085,inf,Docs/ArtOptimizationAB/card_high_speed_slash__png_opt.png
card_high_speed_slash,card_full,webp_lossless,webp,1023,1537,1981990,1935.5,0.733,inf,Docs/ArtOptimizationAB/card_high_speed_slash__webp_lossless.webp
card_high_speed_slash,card_full,webp_q95,webp,1023,1537,500260,488.5,0.185,36.22,Docs/ArtOptimizationAB/card_high_speed_slash__webp_q95.webp
card_high_speed_slash,card_full,webp_q90,webp,1023,1537,362812,354.3,0.134,35.37,Docs/ArtOptimizationAB/card_high_speed_slash__webp_q90.webp
card_high_speed_slash,card_full,webp_q85,webp,1023,1537,288072,281.3,0.107,34.39,Docs/ArtOptimizationAB/card_high_speed_slash__webp_q85.webp
monster_crown_acolyte,monster,original_png,png,960,1280,1631758,1593.5,1.0,inf,Docs/ArtOptimizationAB/monster_crown_acolyte__original_png.png
monster_crown_acolyte,monster,png_opt,png,960,1280,1638809,1600.4,1.004,inf,Docs/ArtOptimizationAB/monster_crown_acolyte__png_opt.png
monster_crown_acolyte,monster,webp_lossless,webp,960,1280,1191778,1163.8,0.73,inf,Docs/ArtOptimizationAB/monster_crown_acolyte__webp_lossless.webp
monster_crown_acolyte,monster,webp_q95,webp,960,1280,578278,564.7,0.354,38.13,Docs/ArtOptimizationAB/monster_crown_acolyte__webp_q95.webp
monster_crown_acolyte,monster,webp_q90,webp,960,1280,499976,488.3,0.306,37.28,Docs/ArtOptimizationAB/monster_crown_acolyte__webp_q90.webp
monster_crown_acolyte,monster,webp_q85,webp,960,1280,437676,427.4,0.268,35.94,Docs/ArtOptimizationAB/monster_crown_acolyte__webp_q85.webp
ui_sheet,ui,original_png,png,1944,1564,903579,882.4,0.764,inf,Docs/ArtOptimizationAB/ui_sheet__original_png.png
ui_sheet,ui,png_opt,png,1944,1564,856622,836.5,0.724,inf,Docs/ArtOptimizationAB/ui_sheet__png_opt.png
ui_sheet,ui,webp_lossless,webp,1944,1564,553668,540.7,0.468,inf,Docs/ArtOptimizationAB/ui_sheet__webp_lossless.webp
ui_sheet,ui,webp_q95,webp,1944,1564,124736,121.8,0.105,47.78,Docs/ArtOptimizationAB/ui_sheet__webp_q95.webp
ui_sheet,ui,webp_q90,webp,1944,1564,77656,75.8,0.066,46.21,Docs/ArtOptimizationAB/ui_sheet__webp_q90.webp
ui_sheet,ui,webp_q85,webp,1944,1564,58262,56.9,0.049,44.77,Docs/ArtOptimizationAB/ui_sheet__webp_q85.webp
