sheet=momoka_spritesheet.png size=724x1629 grid=4x9 cell=181x181
mapping=idle:0-3 attack:4-11 run:12-19 hit:20-27 dead:28-35
attack_original_keyframes=5,7,8,11
attack_generated_bridges=4,6,9,10
run_generated_alternating_steps=12-19
00: bbox=58x174 margins=l61,t3,r62,b4
01: bbox=74x173 margins=l53,t3,r54,b5
02: bbox=68x174 margins=l56,t3,r57,b4
03: bbox=61x174 margins=l60,t3,r60,b4
04: bbox=90x174 margins=l45,t3,r46,b4
05: bbox=125x174 margins=l29,t3,r27,b4
06: bbox=84x174 margins=l48,t3,r49,b4
07: bbox=84x174 margins=l49,t3,r48,b4
08: bbox=148x173 margins=l16,t4,r17,b4
09: bbox=149x174 margins=l16,t3,r16,b4
10: bbox=88x174 margins=l46,t3,r47,b4
11: bbox=79x174 margins=l51,t3,r51,b4
12: bbox=119x174 margins=l31,t3,r31,b4
13: bbox=93x174 margins=l44,t3,r44,b4
14: bbox=126x174 margins=l27,t3,r28,b4
15: bbox=127x174 margins=l27,t3,r27,b4
16: bbox=136x174 margins=l22,t3,r23,b4
17: bbox=92x174 margins=l44,t3,r45,b4
18: bbox=124x174 margins=l28,t3,r29,b4
19: bbox=124x174 margins=l28,t3,r29,b4
20: bbox=95x174 margins=l42,t3,r44,b4
21: bbox=115x174 margins=l35,t3,r31,b4
22: bbox=97x174 margins=l42,t3,r42,b4
23: bbox=115x150 margins=l33,t26,r33,b5
24: bbox=101x126 margins=l40,t45,r40,b10
25: bbox=138x126 margins=l21,t45,r22,b10
26: bbox=166x105 margins=l7,t66,r8,b10
27: bbox=159x89 margins=l11,t82,r11,b10
28: bbox=175x92 margins=l3,t78,r3,b11
29: bbox=170x83 margins=l3,t88,r8,b10
30: bbox=176x76 margins=l2,t95,r3,b10
31: bbox=173x72 margins=l2,t99,r6,b10
32: bbox=176x55 margins=l2,t116,r3,b10
33: bbox=176x89 margins=l2,t82,r3,b10
34: bbox=172x60 margins=l2,t111,r7,b10
35: bbox=174x62 margins=l2,t109,r5,b10
edge_risk_frames=[30, 31, 32, 33, 34, 35]
